Time,Matrix_Dim,Local_Mem,Block_Size
1.55992,64,0,1
9.12488,64,1,1
1.58048,64,0,1
0.08184,64,1,16
0.09224,64,1,8
1.56808,64,0,1
1.5676,64,0,1
1.56792,64,0,1
1.59592,64,0,1
1.31696,64,1,2
1.57392,64,0,1
1.56872,64,0,1
0.23136,64,1,4
0.234,64,1,4
0.07472,64,1,16
0.08776,64,1,8
1.57192,64,0,1
0.24768,64,1,4
0.0872,64,1,8
0.07432,64,1,16
0.08616,64,1,8
1.55952,64,0,1
1.57008,64,0,1
1.57168,64,0,1
0.08632,64,1,8
1.57704,64,0,1
1.5908,64,0,1
0.08664,64,1,8
1.57248,64,0,1
0.2448,64,1,4
1.5644,64,0,1
0.08816,64,1,8
1.58336,64,0,1
0.09272,64,1,8
9.12696,64,1,1
1.42024,64,1,2
0.08584,64,1,8
0.23424,64,1,4
1.57704,64,0,1
1.57256,64,0,1
0.074,64,1,16
0.07408,64,1,16
1.56784,64,0,1
1.4048,64,1,2
0.24416,64,1,4
1.37984,64,1,2
9.1396,64,1,1
1.58448,64,0,1
0.0876,64,1,8
0.07328,64,1,16
